Accessed on Sun Sep 11 2016 03:58:50 GMT-0700 (PDT)
 
×

1618 Owners Of Brain
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Pas	A-	11×	96/96	  GET
 Adelino Henriques	F	2×	64/96	  GET
 Filipp Trialikov	F	5×	90/96	  GET
 Juan Camilo	C+	3×	96/96	  GET
 movaki2707	F	2×	85/96	  GET
 Luke Gibson	A+	5×	95/96	  GET
 Khara Baughan	D+	5×	96/96	  GET
 Azabrowski3734	B	2×	57/96	  GET
 Peekaboohime	D-	7×	92/96	  GET
 Layton	A+	3×	89/96	  GET
 Shelly Brown-Elkins	A+	6×	90/96	  GET
 Caroline Critchlow	A+	2×	28/96	  GET
 Candoh	A+	3×	96/96	  GET
 Laura Jäger	B	4×	90/96	  GET
 Ajax Boyle	D	5×	86/96	  GET
 Dimitri Panek	A+	7×	96/96	  GET
 Animund	F	3×	78/96	  GET
 Tim Plunkett	C	6×	88/96	  GET
 Gabsy	A+	8×	96/96	  GET
 ShellCat	C-	7×	95/96	  GET
 Micah Laaker	A+	3×	96/96	  GET
 Cedric Vdh	A-	3×	76/96	  GET
 Gaia14	F	4×	69/96	  GET
 Elijah Snow-Rackley	F+	2×	45/96	  GET
 Michelle Cruz	A+	2×	75/96	  GET
 Mary Eaton	D	2×	83/96	  GET
 Patrick Brodie	F	5×	88/96	  GET
 Ramiro Franco	D	4×	88/96	  GET
 Vlad Ciule	A+	4×	96/96	  GET
 Celine Oon	A+	3×	85/96	  GET
 AtTheMan	A+	2×	96/96	  GET
 Chelsea Peterson	F	2×	51/96	  GET
 Chris Williams	A+	12×	96/96	  GET
 Kristen Tully	F	3×	84/96	  GET
 Lisa Railey	A+	3×	96/96	  GET
 RAVANA	C-	2×	18/96	  GET
 Whereisvera	D+	2×	96/96	  GET
 Cynthia	A+	3×	96/96	  GET
 alunia6191	A+	5×	96/96	  GET
 Jose Martinez	A+	2×	80/96	  GET
 Armand Datema	A+	6×	96/96	  GET
 Eric Balete	F+	2×	80/96	  GET
 Sergey Shirokov	A	5×	95/96	  GET
 Alyssa Cole	B-	3×	96/96	  GET
 Mnemosyne	A+	6×	96/96	  GET
 Kris Callejas	F	4×	96/96	  GET
 Spiritsandshadows	D+	2×	36/96	  GET
 ellie	F+	3×	76/96	  GET
 Sarah Kuehnle	A+	4×	95/96	  GET
 Steve McKinney	A+	5×	90/96	  GET
 Joslyn Gray	A+	2×	96/96	  GET
 Caitlin Riblett	A-	3×	77/96	  GET
 Jaime Skelton	A+	12×	96/96	  GET
 Aubrey Johnson	A-	9×	96/96	  GET
 miam miam	A-	2×	78/96	  GET
 Henry Brennan	A+	4×	90/96	  GET
 Adam Arfman	D	3×	96/96	  GET
 Erodriguez08512	D+	5×	92/96	  GET
 Sarah Austin	D+	3×	87/96	  GET
 Maike Vierkant	F	4×	96/96	  GET
 katrinacastillo	D+	4×	96/96	  GET
 Julia Notkina	A+	6×	96/96	  GET
 Ryan Blair	F	8×	96/96	  GET
 Kewfest	A+	4×	96/96	  GET
 Eda Wina	A+	2×	73/96	  GET
 Josh Hinds	A+	3×	94/96	  GET
 Daniel Vedamuthu	A+	4×	96/96	  GET
 Oxxy	D-	3×	62/96	  GET
 Naj Newcot	B	3×	96/96	  GET
 Antoine Llorca	C	3×	61/96	  GET
 Alyssa Brumfield	F+	4×	68/96	  GET
 J Paukune	A+	9×	96/96	  GET
 Say Adil	F+	2×	44/96	  GET
 Keith Chu	A+	10×	96/96	  GET
 dave	A-	5×	96/96	  GET
 Laurens Dik	C-	2×	96/96	  GET
 Bibz Didine	A-	4×	96/96	  GET
 J.L. Elliott	F	5×	96/96	  GET
 Monica Nunes	A	2×	96/96	  GET
 J K	A+	9×	96/96	  GET
 Babi Peixoto	F	3×	76/96	  GET
 maveor_	C-	2×	28/96	  GET
 chmop	A+	6×	96/96	  GET
 Matt Ginn	A	7×	95/96	  GET
 Anna Kulikova	A+	2×	96/96	  GET
 Rutgersbaby	D+	3×	96/96	  GET
 James Sanders	F+	2×	96/96	  GET
 Ruby Taylor	B-	3×	73/96	  GET
 Kelsey Tommerup	A+	9×	95/96	  GET
 Ryan Reid	F	3×	62/96	  GET
 Jack Kopix	D+	2×	96/96	  GET
 Maricel Baldoni	C	2×	26/96	  GET
 Danielle Wolf	F+	4×	84/96	  GET
 Alenia Dark	D+	2×	83/96	  GET
 reece duca	A-	3×	96/96	  GET
 Thomas	A	2×	83/96	  GET
 Habblesthecat	A-	2×	96/96	  GET
 Cheyenne Clark	A	6×	96/96	  GET
 Mtfc1029	C-	2×	56/96	  GET
 David Allen	A+	6×	96/96	  GET
 Della Chen	B	3×	63/96	  GET
 Keegan Wreden	C	6×	96/96	  GET
 Lucy Walker	D-	2×	22/96	  GET
 Jvira1201	D	3×	89/96	  GET
 Dean Robinson	A+	9×	91/96	  GET
 Naomi Thompson	B	4×	96/96	  GET
 Ryan Karlin	A	5×	95/96	  GET
 eleni	F	2×	67/96	  GET
 Helena Hajsek	A+	9×	94/96	  GET
 G. Hussain Chinoy	A-	10×	92/96	  GET
 Laura	A+	9×	96/96	  GET
 Suzana Suguimori	B-	4×	96/96	  GET
 David Dalby	B-	2×	22/96	  GET
 Gustav Wedholm	A+	3×	83/96	  GET
 Kefl	D-	3×	69/96	  GET
 Skutes Tenaw	B	6×	93/96	  GET
 Courtny Cotten	F	2×	19/96	  GET
 Violet	A	4×	92/96	  GET
 Alice Zombie	C+	3×	86/96	  GET
 Garan Rodgers	A+	5×	96/96	  GET
 Erin Skidmore	B-	4×	90/96	  GET
 Ryan Tilley	C-	2×	73/96	  GET
 Linden	B	3×	96/96	  GET
 juliboo3232	B-	8×	96/96	  GET
 Melissa Thiele	A+	2×	95/96	  GET
 Josh Kendall	A+	5×	96/96	  GET
 AB Bright	A+	2×	96/96	  GET
 Vivi Campbell	C	5×	96/96	  GET
 MK	A	5×	96/96	  GET
 Jovan Todorovic	B+	4×	95/96	  GET
 Amandine Crepin	F	5×	94/96	  GET
 Stephanie Colon	F	2×	96/96	  GET
 heather barrett	B	3×	89/96	  GET
 Jordan Batch	B+	6×	96/96	  GET
 blackdustbloodline	A	1×	40/96	  GET
 David Gullberg	F+	1×	15/96	  GET
 Good Man	A+	1×	12/96	  GET
 Frombiefan	F	1×	85/96	  GET
 Pruneslate	D+	1×	15/96	  GET
 Jesse Brack	B+	1×	95/96	  GET
 Therealhobbit	D	1×	8/96	  GET
 Echi Zala	F+	1×	8/96	  GET
 Fede DB	B-	1×	24/96	  GET
 Mico owo	D	1×	1/96	  GET
 stringfellow	A+	1×	96/96	  GET
 FlyGirl	A+	1×	96/96	  GET
 Glaklis	C	1×	11/96	  GET
 Jessica Songer	C-	1×	67/96	  GET
 Alan Abraham	C	1×	9/96	  GET
 Joemorgan1394	D	1×	18/96	  GET
 Scheng465	C+	1×	88/96	  GET
 A_little_undereducated	D+	1×	14/96	  GET
 Scarlet Redfox	D+	1×	28/96	  GET
 IMar Milo	D	1×	9/96	  GET
 Annawoodward101	D	1×	17/96	  GET
 Zoanthia	A+	1×	86/96	  GET
 Naima Adil	F+	1×	38/96	  GET
 edge.laing	F	1×	13/96	  GET
 goycotwo	D-	1×	44/96	  GET
 Bogdan Trachev	A+	1×	96/96	  GET
 Michael Innes	A+	1×	48/96	  GET
 Apple	A-	1×	14/96	  GET
 Aika V	A+	1×	96/96	  GET
 Perrysage	C-	1×	24/96	  GET
 Grimm Georgie	D+	1×	53/96	  GET
 Luis Ochoa	F	1×	18/96	  GET
 Kainplot	D+	1×	5/96	  GET
 T4yl0r	C+	1×	45/96	  GET
 Shane DeGroat	A+	1×	3/96	  GET
 Sam Couchman	C	1×	2/96	  GET
 Abby	A+	1×	45/96	  GET
 Evynnn Sando	A+	1×	7/96	  GET
 Tasha Massman	C-	1×	87/96	  GET
 Carmen Ferráez Córdoba	C	1×	2/96	  GET
 Amelia Townsend	C-	1×	31/96	  GET
 Christopher Rodriguez	D-	1×	41/96	  GET
 Nicholas Kinloch	B+	1×	85/96	  GET
 Moshi	C	1×	8/96	  GET
 Julio Antonaccio	B	1×	81/96	  GET
 Laurynlewis19	C-	1×	16/96	  GET
 Stephanie Mitchell	B+	1×	35/96	  GET
 Mynameisjansen	C-	1×	14/96	  GET
 Alepopg	B+	1×	62/96	  GET
 Lolly Blackheart	A+	1×	43/96	  GET
 Steph	C+	1×	57/96	  GET
 Marcio Rodrigues	A	1×	19/96	  GET
 Mys	C	1×	16/96	  GET
 Rynn Hanna	A+	1×	75/96	  GET
 Ika Suyata	A-	1×	91/96	  GET
 Zainab Mohammad	B+	1×	30/96	  GET
 Jireh Silva	A+	1×	62/96	  GET
 Xristos Panagiotou	B-	1×	25/96	  GET
 Sarah Swan	C	1×	2/96	  GET
 Phil Lavigne	B-	1×	48/96	  GET
 Sil	A+	1×	96/96	  GET
 Jiyoon Magandang	D+	1×	7/96	  GET
 Ramsel_sianghio	C	1×	6/96	  GET
 Toni King	F	1×	3/96	  GET
 Lena	A+	1×	96/96	  GET
 SpaceKat	C	1×	89/96	  GET
 Ilumire	C-	1×	14/96	  GET
 Amadei Mueller	A-	1×	67/96	  GET
 Ana	A+	1×	95/96	  GET
 Nathsic	B	1×	15/96	  GET
 sharon nowlan	C-	1×	35/96	  GET
 SpanishPanda	B+	1×	21/96	  GET
 hattie red	B	1×	15/96	  GET
 Lisa Healey	D+	1×	72/96	  GET
 lyncoln nellucci	C	1×	16/96	  GET
 Iamsmallish	C-	1×	7/96	  GET
 jesibunni	C+	1×	96/96	  GET
 Yashinoki	C	1×	8/96	  GET
 Wonkily	D	1×	5/96	  GET
 Terry Patterson	F+	1×	52/96	  GET
 Will Harding	F	1×	91/96	  GET
 Becca W	A-	1×	54/96	  GET
 tzina	F	1×	52/96	  GET
 Lyn Valerie	D-	1×	7/96	  GET
 Лев Якушев	A+	1×	96/96	  GET
 Margoslxix	B-	1×	65/96	  GET
 Jansen	A+	1×	23/96	  GET
 Es0402	C	1×	12/96	  GET
 Get Me Quickly	A+	1×	95/96	  GET
 Axel Gonzalez	A+	1×	11/96	  GET
 Ed Stych	A+	1×	96/96	  GET
 Kirsten Hoover	F	1×	30/96	  GET
 Xavi Serrat	A+	1×	80/96	  GET
 Gtavideosyt1998	B	1×	8/96	  GET
 Epic_sky	C	1×	10/96	  GET
 Lauren Zuniga	C	1×	2/96	  GET
 Sasha Walker	F	1×	36/96	  GET
 Joel Glovier	A-	1×	8/96	  GET
 James Newton	A-	1×	80/96	  GET
 Lucas Souza	A-	1×	85/96	  GET
 Bauke Schildt	A+	1×	70/96	  GET
 Emm3chan	D-	1×	4/96	  GET
 Amanda	F	1×	63/96	  GET
 Coriolanus	B-	1×	12/96	  GET
 John MacLeod	A+	1×	45/96	  GET
 Andrew-David Jahchan	A+	1×	62/96	  GET
 Choc Kulet	D+	1×	29/96	  GET
 Hiro N.	A+	1×	76/96	  GET
 Austine Pantilo	C	1×	9/96	  GET
 Jessie Lopez	B	1×	19/96	  GET
 Sara Samples	A+	1×	32/96	  GET
 jessicacolli	C-	1×	12/96	  GET
 Abe Rahey	F	1×	56/96	  GET
 Sometimeslove	A+	1×	65/96	  GET
 linkisnumberone	D+	1×	9/96	  GET
 Christine Lukich	A+	1×	57/96	  GET
 Lazymummy	C-	1×	67/96	  GET
 Fiscer	C	1×	6/96	  GET
 Bonnie	D+	1×	51/96	  GET
 Alpha Aquilae	C+	1×	14/96	  GET
 roger podactor	A-	1×	39/96	  GET
 Pyro	F	1×	38/96	  GET
 Martin	F	1×	12/96	  GET
 Ksenia Kovardina	D+	1×	96/96	  GET
 Paolo Miguel	D	1×	90/96	  GET
 Brittany Hildreth	C	1×	75/96	  GET
 Alan Oronoz	A-	1×	5/96	  GET
 Kevin Carvajal	C	1×	9/96	  GET
 Josh Michaud	C	1×	14/96	  GET
 Psyro	D-	1×	16/96	  GET
 Nendo Taka	C-	1×	12/96	  GET
 Aldy Garcia	D+	1×	20/96	  GET
 Mista Sage	C-	1×	23/96	  GET
 aurorajulialis	D+	1×	14/96	  GET
 Dumitru	B-	1×	90/96	  GET
 True.amigo	F+	1×	39/96	  GET
 Patate.oignon.tomate	C	1×	10/96	  GET
 Elaine D	A+	1×	17/96	  GET
 Vale Robles	C	1×	96/96	  GET
 Rbitfrog	B	1×	42/96	  GET
 Fraffee	D+	1×	10/96	  GET
 Tropiz	F	1×	12/96	  GET
 Krysta McCoy	D	1×	2/96	  GET
 Tylor LaBonte	D+	1×	25/96	  GET
 Rachel Peters	D+	1×	18/96	  GET
 Nalajess	C+	1×	67/96	  GET
 Lerle Scha	F	1×	7/96	  GET
 Jajamalixi	C	1×	8/96	  GET
 Chanon Cserepy	D-	1×	2/96	  GET
 Kimi S	D	1×	93/96	  GET
 Pexxxx Marchebas	C+	1×	96/96	  GET
 Shadowfrie	C+	1×	11/96	  GET
 Nayeli Alvarado	C	1×	89/96	  GET
 Karla Flores	A+	1×	57/96	  GET
 Minedualers	C-	1×	13/96	  GET
 Cyrus Malkin	A+	1×	96/96	  GET
 Carrie Hu	A	1×	86/96	  GET
 Rhanz Ferrer	C	1×	9/96	  GET
 patricia_incienso	C-	1×	64/96	  GET
 Kangaroo	C-	1×	12/96	  GET
 Georgia	A+	1×	96/96	  GET
 Franklin John Pacres	F	1×	84/96	  GET
 Rachelle Hobbins	D+	1×	8/96	  GET
 Benjamin Wolf	C-	1×	18/96	  GET
 Ricardo Pinheiro	F	1×	30/96	  GET
 Lenny Patterson	D-	1×	52/96	  GET
 Andrew Colclough	A	1×	27/96	  GET
 Jermaine Dasargo	D+	1×	16/96	  GET
 Jordan Akouka	D+	1×	7/96	  GET
 Andy Peninger	B	1×	72/96	  GET
 Teammisery	A+	1×	18/96	  GET
 Ider Guerrero	F+	1×	21/96	  GET
 Kolt Fox	C-	1×	8/96	  GET
 Alexandra Gillett-Baxter	D	1×	34/96	  GET
 Elisa Oliveira	C+	1×	49/96	  GET
 Lolita	C-	1×	9/96	  GET
 Radiant Croceus	D+	1×	16/96	  GET
 Ena Bautista	D	1×	33/96	  GET
 Joe Wadlington	C+	1×	96/96	  GET
 Alex Cloz	A+	1×	65/96	  GET
 Lucas Ramon	C-	1×	7/96	  GET
 ridhwan mazlan	F	1×	35/96	  GET
 Christian Kiekebusch	D	1×	27/96	  GET
 Mike McDonald	B	1×	30/96	  GET
 Robbie Decilio	C-	1×	14/96	  GET
 Jean Angel	B	1×	22/96	  GET
 Hannah Bird	B	1×	35/96	  GET
 Mika Poe	A+	1×	6/96	  GET
 Guerreiroescarlate	F	1×	5/96	  GET
 Tom Nora	A+	1×	71/96	  GET
 Che23bong	B	1×	4/96	  GET
 Erik Miller	A+	1×	89/96	  GET
 Lopo Tanini	A+	1×	59/96	  GET
 Jelena Woehr	C	1×	25/96	  GET
 Matthew Watts	D-	1×	1/96	  GET
 Jacob Alering	C	1×	21/96	  GET
 Sydney Nguyen	C	1×	10/96	  GET
 Mats Abrahamsen	B-	1×	68/96	  GET
 Jennifer Appleby	A	1×	55/96	  GET
 Dzi Burn	F	1×	17/96	  GET
 Addy Johnson	C+	1×	12/96	  GET
 Katie Redmon	A+	1×	96/96	  GET
 Simonrubio	D+	1×	7/96	  GET
 Stephanie Schwartz	A+	1×	93/96	  GET
 Timothy Dang	F	1×	8/96	  GET
 James Raymond	B	1×	54/96	  GET
 Chibi17	D+	1×	30/96	  GET
 Sparrow3183	A-	1×	73/96	  GET
 Vittoriafranceschi96	A+	1×	89/96	  GET
 Sushikiller	D	1×	9/96	  GET
 Luiza Figueiredo	B	1×	87/96	  GET
 Kaizerx	D-	1×	17/96	  GET
 Stella Devi Sjahli	A-	1×	20/96	  GET
 Finda Ayu	A+	1×	22/96	  GET
 Chad Roble	C	1×	9/96	  GET
 Jelleke	B+	1×	88/96	  GET
 Jeremías Longo	B+	1×	25/96	  GET
 Tom Kull	D	1×	9/96	  GET
 Avery H	A+	1×	10/96	  GET
 Rizki Maulana	C	1×	5/96	  GET
 Enigmatic	D	1×	54/96	  GET
 Violet Vaughan	D	1×	53/96	  GET
 Brent Metcalf	A+	1×	94/96	  GET
 Paola Casillas	A	1×	96/96	  GET
 Asta Hartley	C	1×	9/96	  GET
 craig webb	D-	1×	71/96	  GET
 dizzy	D	1×	13/96	  GET
 Kako Smo	A	1×	96/96	  GET
 C.savage	C-	1×	43/96	  GET
 passive consumer	D+	1×	23/96	  GET
 Danielle Van Niekerk	C	1×	8/96	  GET
 Caglar Onder	A+	1×	96/96	  GET
 Luissin7	B-	1×	5/96	  GET
 Celloplayer	D+	1×	20/96	  GET
 Dinah Griego	A+	1×	90/96	  GET
 Zoe	D-	1×	89/96	  GET
 Shaney249	D+	1×	8/96	  GET
 Blancheclaud	A	1×	49/96	  GET
 Elise Goitia	C	1×	2/96	  GET
 Janice Cruz	F+	1×	9/96	  GET
 Vincent Chorabik	C+	1×	9/96	  GET
 Viralik	F	1×	18/96	  GET
 Amanda Lima	C	1×	8/96	  GET
 Kristina Drespling	C-	1×	9/96	  GET
 CERA	F+	1×	6/96	  GET
 Thingsareweird	C	1×	2/96	  GET
 Nell Go	D+	1×	27/96	  GET
 Noris Xhelepi	C-	1×	20/96	  GET
 Jenni Flores	D+	1×	13/96	  GET
 Kolczykk0	C	1×	7/96	  GET
 Maria Peixoto	F	1×	51/96	  GET
 Haylee Moran	A+	1×	70/96	  GET
 Hannah Williams	B	1×	80/96	  GET
 Tiberiu Ion	C	1×	8/96	  GET
 Mari	C	1×	68/96	  GET
 Ameyuri	F	1×	38/96	  GET
 JJ Craft	A	1×	72/96	  GET
 si Hakim	A-	1×	29/96	  GET
 Matt Scribner	D+	1×	87/96	  GET
 Katie Murray	F	1×	96/96	  GET
 Notjess	C	1×	96/96	  GET
 Yesha Gallardo	C-	1×	8/96	  GET
 Shelley Rutherford	C	1×	4/96	  GET
 Ms. Marie Mac	A+	1×	88/96	  GET
 Mama	B	1×	26/96	  GET
 Tigger48	F	1×	9/96	  GET
 Heung Gi Lee	D	1×	49/96	  GET
 Earl Betz	C+	1×	20/96	  GET
 Dawnielle Chapman	D	1×	9/96	  GET
 shacor	F	1×	7/96	  GET
 Thomas Clément	F	1×	76/96	  GET
 Samantha Johnson	B+	1×	88/96	  GET
 colle owino	C+	1×	81/96	  GET
 Electriccupcakedesign	F	1×	12/96	  GET
 Cassidy Walker	C	1×	48/96	  GET
 Themob	C	1×	8/96	  GET
 Jake Page	B	1×	4/96	  GET
 jaodf88934	C	1×	8/96	  GET
 donroyco	A+	1×	95/96	  GET
 Martinjacob.tejada08	C	1×	8/96	  GET
 Devon Woodrow	F	1×	93/96	  GET
 Emilian Manolache	D	1×	86/96	  GET
 Fahimnation	B-	1×	4/96	  GET
 Lance Cookson	A-	1×	96/96	  GET
 slack tahr	D-	1×	5/96	  GET
 Cassie Jonas	F	1×	39/96	  GET
 Rose Knox	B-	1×	60/96	  GET
 Yulia Linderoth	D	1×	73/96	  GET
 Cloudbreath	B-	1×	96/96	  GET
 Terrasa Ulm	C+	1×	37/96	  GET
 Noriko Kakihara	A+	1×	96/96	  GET
 Jim Stevens	A+	1×	66/96	  GET
 sevsnapelove09	C	1×	71/96	  GET
 4nj3l	B-	1×	43/96	  GET
 Avorie Bliss	F	1×	30/96	  GET
 Ak47.brooks	C-	1×	60/96	  GET
 Lannah	C+	1×	11/96	  GET
 Kamiel Voets	B-	1×	7/96	  GET
 Kylie Simpson	F	1×	51/96	  GET
 Morgana D'Almeida	D	1×	75/96	  GET
 Lauren Proctor	F	1×	14/96	  GET
 Evan Cooney	C	1×	17/96	  GET
 Earlybard	C	1×	17/96	  GET
 Dejarrel	A	1×	11/96	  GET
 Richard Pedersen	F	1×	24/96	  GET
 Creighton Chavez	D+	1×	33/96	  GET
 Ales k	F	1×	96/96	  GET
 Madi Huffman	D	1×	16/96	  GET
 aeriporteau	F	1×	22/96	  GET
 Ian Mills	D+	1×	4/96	  GET
 Maartje de Boer	C	1×	4/96	  GET
 BLUE SKIES	C-	1×	9/96	  GET
 Mamabunyip	A+	1×	16/96	  GET
 Edwin de Jongh	D+	1×	2/96	  GET
 Anouk b.	A+	1×	96/96	  GET
 Jason Sturdivant	C-	1×	8/96	  GET
 Ottoman	D+	1×	16/96	  GET
 Philippe Toupin	C	1×	4/96	  GET
 Kristine Reyes	D	1×	12/96	  GET
 Mustafa Gürşan	C	1×	5/96	  GET
 Martyna.kemeklyte	C-	1×	6/96	  GET
 Sasha B	B	1×	46/96	  GET
 Ahartman	C	1×	8/96	  GET
 Itsagathar	C-	1×	11/96	  GET
 Tijana Jevtic	A+	1×	96/96	  GET
 Douglas Teixeira Dias	D-	1×	65/96	  GET
 Teresa Lindsay	D-	1×	27/96	  GET
 Hannah	D	1×	96/96	  GET
 Thegeech	D+	1×	91/96	  GET
 Sean Burdick	A	1×	19/96	  GET
 Karla House Mcclain	A+	1×	55/96	  GET
 Simone Stern	C	1×	70/96	  GET
 Shadoki	F	1×	5/96	  GET
 LiviBunny	F+	1×	43/96	  GET
 Dramaqueen09	A+	1×	83/96	  GET
 Emily Schein	D+	1×	47/96	  GET
 Aderito Pinho	F	1×	30/96	  GET
 Barney Shimp	A+	1×	11/96	  GET
 Gina Mallonee	C+	1×	79/96	  GET
 Chania Pinasca	B+	1×	19/96	  GET
 The Hawddamor	C-	1×	27/96	  GET
 Brad Nelson	A+	1×	42/96	  GET
 Parker Dahl	C	1×	34/96	  GET
 Kay	D+	1×	29/96	  GET
 Jeremy Gunawan	C-	1×	19/96	  GET
 Christa Harden	C	1×	9/96	  GET
 Rebecca Erickson	A+	1×	75/96	  GET
 Helena Che	F	1×	93/96	  GET
 Sbriant	F	1×	2/96	  GET
 Alexis Coronado	F	1×	73/96	  GET
 Konstantinos Pittas	A-	1×	18/96	  GET
 Amlyreze	C-	1×	85/96	  GET
 Peter Duijzers	F	1×	36/96	  GET
 Jonathan Rapavi	D	1×	19/96	  GET
 Troilus Pascual	D+	1×	9/96	  GET
 Bpikmin	C-	1×	13/96	  GET
 Johnny	D+	1×	9/96	  GET
 Abbie V.	A+	1×	76/96	  GET
 Anabelle Michelle	C	1×	86/96	  GET
 Rui Soares	F	1×	47/96	  GET
 Pedro Ivo Hudson	A+	1×	66/96	  GET
 Todd Espiritu Santo	B+	1×	89/96	  GET
 Little Clay Friends	F	1×	60/96	  GET
 Kalina	A	1×	12/96	  GET
 Damyen Medina	C+	1×	8/96	  GET
 Gale Gower	C	1×	8/96	  GET
 George Biryukov	D+	1×	25/96	  GET
 Morgan Jones	D-	1×	25/96	  GET
 J-dog	C	1×	1/96	  GET
 OrdinaryOrange	B	1×	4/96	  GET
 Pizza Pie	B-	1×	24/96	  GET
 lameester	C-	1×	30/96	  GET
 justinoser	D	1×	17/96	  GET
 Bellawoods24	C+	1×	15/96	  GET
 Maria Camacho	A	1×	16/96	  GET
 Bob Pringle	C	1×	6/96	  GET
 Jaluna Rolik	C	1×	10/96	  GET
 KTKatieKate	A+	1×	96/96	  GET
 Jovana Markovic	A+	1×	91/96	  GET
 Bevanbiko	A+	1×	96/96	  GET
 Christine Rutherford	D	1×	20/96	  GET
 Whitney Germaine	C	1×	4/96	  GET
 Paul Whitham	D-	1×	58/96	  GET
 Jennifer Ritz	A+	1×	3/96	  GET
 Carl Custodio	D	1×	7/96	  GET
 Kristina Werdenberg	A+	1×	96/96	  GET
 Jose Nunes	F	1×	57/96	  GET
 Alba King	D+	1×	5/96	  GET
 Nata	F	1×	13/96	  GET
 Alex Banman	B	1×	17/96	  GET
 tripl ecks	F	1×	24/96	  GET
 Jezza Marie	C-	1×	20/96	  GET
 Blueseal20100	C	1×	16/96	  GET
 Jeni May	C	1×	96/96	  GET
 Erlyana Hotmauli	C	1×	3/96	  GET
 Abbybigley	F	1×	14/96	  GET
 Jenn Craycraft	C-	1×	14/96	  GET
 Nusaira Chowdhury	D+	1×	21/96	  GET
 Dave Wilhelm	A+	1×	95/96	  GET
 Adam Ratcliffe	C	1×	8/96	  GET
 Natalia Pedemonte	F+	1×	41/96	  GET
 Luiz Alberto Pivetta	B-	1×	43/96	  GET
 Ali Abid	B-	1×	8/96	  GET
 Charlotte Moore	D	1×	24/96	  GET
 Regina Chin	D-	1×	11/96	  GET
 Agathe Machavoine	B+	1×	96/96	  GET
 Julia Hornfeck	D-	1×	22/96	  GET
 Oscar Marcelo	A+	1×	96/96	  GET
 Anthony Exler	D+	1×	24/96	  GET
 Michael	F	1×	20/96	  GET
 Codemunkys!	F	1×	96/96	  GET
 Andre Reis	F	1×	4/96	  GET
 Robotpuffin	C	1×	6/96	  GET
 Megan Bishop	F	1×	55/96	  GET
 Björn Wilde	D-	1×	48/96	  GET
 London Depew	C	1×	9/96	  GET
 Yoonnieyoon	C	1×	12/96	  GET
 Afton Sisney	D+	1×	31/96	  GET
 Nuno Sousa	F	1×	43/96	  GET
 Robbie Smith	A+	1×	44/96	  GET
 Fryingpansam93	A+	1×	96/96	  GET
 carol	B-	1×	43/96	  GET
 Sarah Buchanan	B-	1×	6/96	  GET
 Ty Paulhus	D	1×	9/96	  GET
 Zimm Groslet	A+	1×	38/96	  GET
 Mary O'Brien	D+	1×	32/96	  GET
 Jeff Escalante	A-	1×	66/96	  GET
 Erica Shaw	A-	1×	23/96	  GET
 Aaron Wade	A+	1×	21/96	  GET
 Julius Cao	B+	1×	8/96	  GET
 Boris Melgarejo	F	1×	81/96	  GET
 Buck DeFore	A	1×	14/96	  GET
 Kosequ	F	1×	37/96	  GET
 Maxkennedy	C	1×	28/96	  GET
 Joao Rio	A+	1×	42/96	  GET
 Edelmira Guerrero	D+	1×	14/96	  GET
 Bloodshatteredqueen	C-	1×	13/96	  GET
 Pierse Chapman	D-	1×	6/96	  GET
 Paintd Rtist	D	1×	15/96	  GET
 Iqbal maulana	F	1×	17/96	  GET
 Dave Susada	C-	1×	8/96	  GET
 Bryan Jackson	C	1×	8/96	  GET
 Camila Masetti	C	1×	11/96	  GET
 Frank B.	C+	1×	71/96	  GET
 Stamex	B-	1×	59/96	  GET
 Aaron Irizarry	F	1×	76/96	  GET
 Jens Hviid	A+	1×	96/96	  GET
 Adam Cheslow	D	1×	51/96	  GET
 Powerfulsquare	A+	1×	6/96	  GET
 carite sapientis	B-	1×	2/96	  GET
 Da Ne	A+	1×	96/96	  GET
 Leahcim Parchment	F	1×	81/96	  GET
 Sarah Welch	F	1×	2/96	  GET
 Cherry Blossom	C	1×	26/96	  GET
 spooningbards	A+	1×	83/96	  GET
 Paul Patricio	C-	1×	79/96	  GET
 Leiajanecuizon2015	F	1×	9/96	  GET
 Apathyiss	C	1×	6/96	  GET
 Justin Barnes	A+	1×	9/96	  GET
 Thecreativekay	C+	1×	82/96	  GET
 Alvaro Sierra	A+	1×	54/96	  GET
 Clement Zhiwei	F	1×	27/96	  GET
 TacticalCat	A+	1×	4/96	  GET
 Shadowscout114	B+	1×	40/96	  GET
 Maggie Gravelle	B+	1×	96/96	  GET
 Kyle Ruane	A+	1×	48/96	  GET
 Jay Wu	A+	1×	96/96	  GET
 Jessi Young	C-	1×	29/96	  GET
 Grace Mitchell	D	1×	47/96	  GET
 Demon	F	1×	31/96	  GET
 Alla K	D+	1×	52/96	  GET
 Machelle Selken	B	1×	92/96	  GET
 Nightcall	A+	1×	60/96	  GET
 Taty	C-	1×	1/96	  GET
 Lijuanw05	C-	1×	8/96	  GET
 Beth Carter	D-	1×	20/96	  GET
 Hannah Winchester	F+	1×	20/96	  GET
 Kloker Manuel	C	1×	23/96	  GET
 Kelsey McKay	C	1×	10/96	  GET
 Numbbun	D+	1×	38/96	  GET
 Anna	B	1×	76/96	  GET
