Accessed on Sun Sep 11 2016 03:58:50 GMT-0700 (PDT)
 
×

1618 Owners Of Brain
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Pas	A-	11×	96/96	  GET
 Whitney Ricketts	F	2×	54/96	  GET
 Katherine Philpot	B-	2×	96/96	  GET
 Tejas Prithvi	A+	5×	96/96	  GET
 Alban Allée	F	2×	96/96	  GET
 Nuui	F	2×	64/96	  GET
 Devi De Leon	A	4×	94/96	  GET
 Kat Christensen	A+	7×	96/96	  GET
 Victoria Roden	B	2×	84/96	  GET
 Justassuper	A+	2×	8/96	  GET
 Hiasobi	A+	6×	90/96	  GET
 Ira	C-	2×	76/96	  GET
 Niña Pacardo	A+	2×	85/96	  GET
 Laura G	A-	2×	93/96	  GET
 Falloutpilot	F+	2×	85/96	  GET
 Jimmy Lee	F	2×	73/96	  GET
 Beccalayne313	D+	3×	91/96	  GET
 buttsurfer	F+	2×	12/96	  GET
 Jenny Hawkyard	F	2×	76/96	  GET
 Vicky Sumbodo	D	5×	96/96	  GET
 Christina Reid	B+	3×	89/96	  GET
 Cataphract	D	2×	78/96	  GET
 Mia von Sillein	C+	5×	96/96	  GET
 Magda Dams	A+	2×	96/96	  GET
 Equinox78	C	2×	9/96	  GET
 India.macpherson	B	2×	62/96	  GET
 Avery CL	D	4×	96/96	  GET
 Josh Ku	A+	4×	95/96	  GET
 K R	F	2×	96/96	  GET
 Mille Heidi	F+	4×	96/96	  GET
 BlackOrchid	A+	6×	95/96	  GET
 Lily Marie	D+	6×	96/96	  GET
 tristan heles	F	4×	89/96	  GET
 Anissa Pahlke	B-	2×	41/96	  GET
 Janegatsby	A+	4×	96/96	  GET
 kathy zheng	A-	5×	82/96	  GET
 Beth	A	4×	90/96	  GET
 Débora Peixoto	F	2×	95/96	  GET
 James Mathias	A+	11×	96/96	  GET
 Nat Lewis	D+	2×	85/96	  GET
 Leon Yonzon	A	3×	96/96	  GET
 Kitty Owens	C+	2×	88/96	  GET
 Tristanearl_	C+	5×	96/96	  GET
 Ase Nsentip	F	2×	15/96	  GET
 Kmiller4175	B+	4×	96/96	  GET
 Karinni.p7	D	3×	39/96	  GET
 Seymour	A+	3×	92/96	  GET
 Mikael Vaede	A+	8×	94/96	  GET
 Pkboo	A+	2×	42/96	  GET
 Sean Langford	A	7×	93/96	  GET
 Wheezy	F	5×	74/96	  GET
 Gabu	B-	6×	96/96	  GET
 Sierra Schell	F+	2×	58/96	  GET
 Justin Fedick	B	4×	96/96	  GET
 Iván Ka	C+	5×	92/96	  GET
 OohLalaKimmeh	A+	4×	88/96	  GET
 Dj	A+	2×	75/96	  GET
 Marco Sousa	A+	4×	82/96	  GET
 Mister Loli	A-	6×	96/96	  GET
 Kaiser White	C+	5×	89/96	  GET
 Cesar Tellez	B-	4×	93/96	  GET
 Matt Rock	A	2×	94/96	  GET
 Eric Reynolds	F+	14×	96/96	  GET
 Milleni Tracheva	F+	2×	83/96	  GET
 Isaac Keyet	F	6×	94/96	  GET
 Justine U	A	5×	96/96	  GET
 Craig Snedeker	A+	3×	92/96	  GET
 Mina M	A+	3×	96/96	  GET
 Isabelle	C-	3×	95/96	  GET
 Dan Edwards	A+	2×	95/96	  GET
 Cédric Heim	B	4×	96/96	  GET
 Elizabeth Kidder	A+	5×	93/96	  GET
 Lari Elovainio	A+	6×	96/96	  GET
 Diaz_franklin50	D+	3×	55/96	  GET
 Stealth22	C-	2×	56/96	  GET
 K Soo Hoo	A+	2×	96/96	  GET
 Nick Barrett	A+	2×	96/96	  GET
 Kevin Henke	A+	5×	96/96	  GET
 David Mead	A	3×	96/96	  GET
 BeautifulLove	F	2×	77/96	  GET
 Brian Rossa	F	4×	82/96	  GET
 Alexander Dekker	A+	2×	86/96	  GET
 Basia Rudzka	D+	2×	20/96	  GET
 Lisa	D+	3×	96/96	  GET
 Vanessa Patata	F	5×	92/96	  GET
 Bruno Filós	D+	8×	96/96	  GET
 sasuki azumi	B-	7×	92/96	  GET
 Lee Heng Kok	C+	8×	75/96	  GET
 Blake Vosburgh	F	6×	96/96	  GET
 Skyelarwoof	D-	2×	63/96	  GET
 John Fee	F	6×	96/96	  GET
 Stes	D	5×	76/96	  GET
 Melanie Easterbrook	A+	4×	96/96	  GET
 Federico Rampazzo	C+	9×	96/96	  GET
 Tomáš Všetečka	F	2×	62/96	  GET
 Clare Royan	C	2×	6/96	  GET
 Nuri Abdur-Rauf	A+	6×	96/96	  GET
 Calvin H	F	7×	87/96	  GET
 Ivelin Peychev	C-	10×	96/96	  GET
 desire tomas	C+	5×	96/96	  GET
 Juliet C.	A+	3×	73/96	  GET
 Jack McNicol	A	2×	93/96	  GET
 Frank Cheng	B+	4×	93/96	  GET
 Josh Studdard	A+	3×	53/96	  GET
 andri kle	F+	3×	96/96	  GET
 Rubens Andrade	F	2×	33/96	  GET
 Michala Červená	F	3×	49/96	  GET
 OtakuMiki	D	5×	68/96	  GET
 Hikarielsa	D+	4×	63/96	  GET
 Ryan Davis	A+	4×	96/96	  GET
 Paula Mortise	D+	3×	20/96	  GET
 Neko	C-	3×	83/96	  GET
 Kya Bean	D-	4×	96/96	  GET
 Extreme Weasel Juggler	B	2×	96/96	  GET
 Nama Senpai	F	8×	96/96	  GET
 Rogie King	F	5×	96/96	  GET
 Alexander Demyanenko	A+	2×	96/96	  GET
 Sarah J.	F	2×	91/96	  GET
 Colleen Legree	F	6×	89/96	  GET
 Lovelli Fuad	D-	9×	94/96	  GET
 Neoblackguard	A+	8×	91/96	  GET
 Michael Lim	F	7×	96/96	  GET
 Anthony DURAND	A+	4×	96/96	  GET
 Taty xD	A+	7×	96/96	  GET
 Reza Firmansyah	F	4×	54/96	  GET
 Victor Cruz	D+	7×	96/96	  GET
 Stevo FC	B+	2×	92/96	  GET
 sZXZ	C	2×	70/96	  GET
 Tentakid Okto-bits	D+	6×	96/96	  GET
 Melody Liu	B+	2×	64/96	  GET
 Q Hurt	B-	3×	62/96	  GET
 Corina Dransutavicius	D	5×	96/96	  GET
 Bill Yeung	A	7×	94/96	  GET
 Opticvinyl	B-	3×	96/96	  GET
 Michael Liendl	B	3×	96/96	  GET
 Doodles (Del) Castoni	A+	8×	96/96	  GET
 Julianna Montoya	D+	9×	96/96	  GET
 6d 69 63 68 61 65 6c	B	3×	96/96	  GET
 Jocelyn Wilson	A+	4×	96/96	  GET
 Mjerk	A+	4×	96/96	  GET
 Jonathan Zhou	C-	4×	74/96	  GET
 Samson Kittens	F	6×	61/96	  GET
 melina carada	C-	2×	57/96	  GET
 Rebecca Lee	C-	2×	92/96	  GET
 Guillaume A	F	6×	83/96	  GET
 Robert Blankenship	A+	10×	96/96	  GET
 Isabelle Chan	D-	2×	96/96	  GET
 Suzanne Duca	A+	3×	96/96	  GET
 Silke Lambrecht	F	3×	80/96	  GET
 Xenass	C	10×	94/96	  GET
 Chris Carey	A+	5×	96/96	  GET
 jkrawls	D+	2×	96/96	  GET
 christinatran07	F+	2×	14/96	  GET
 Koolza	A+	4×	88/96	  GET
 Emi	A+	4×	96/96	  GET
 Xinxi	A	8×	96/96	  GET
 Tim Latshaw	A	9×	93/96	  GET
 Jennifer Stavros	F	4×	93/96	  GET
 Kimberly Marie	C+	2×	96/96	  GET
 Amie Arfman	F	3×	77/96	  GET
 Kim	A+	2×	96/96	  GET
 Angela Moore	B	2×	85/96	  GET
 Guadalupe Roggero	F	2×	14/96	  GET
 nowheresafe	A+	9×	96/96	  GET
 Stephanie Chappell	A	4×	85/96	  GET
 Kalin Wood	A+	2×	85/96	  GET
 Sergio Pinho	F	2×	96/96	  GET
 Jazzlyn Markowsky	D-	3×	52/96	  GET
 Nitaldevilliers	D	2×	94/96	  GET
 Pøky Po	A+	5×	96/96	  GET
 Bianca	F	2×	51/96	  GET
 CherubiAngel	C	2×	67/96	  GET
 Youssef Hachhouch	A+	6×	96/96	  GET
 Dominic Flask	A+	2×	96/96	  GET
 Alicia Robotunicorn	D+	4×	91/96	  GET
 Anna Lee	D	2×	37/96	  GET
 Fred Rocc	F	6×	96/96	  GET
 Seriousbusiness	A+	5×	85/96	  GET
 Gih GM	F	4×	93/96	  GET
 blue caped	A	6×	96/96	  GET
 Gliocasneko	A-	2×	90/96	  GET
 James Montagna	B	4×	85/96	  GET
 Jadestarxl	A	9×	96/96	  GET
 Filthyelf	F	5×	86/96	  GET
 Cptcolorblind	D	2×	31/96	  GET
 Sarah Charlton	A	3×	96/96	  GET
 Isdaren	A-	2×	96/96	  GET
 Marius Milea	F	5×	94/96	  GET
 Gilbert	C	2×	16/96	  GET
 Julie Tran	C+	2×	91/96	  GET
 Nero Straspark	D-	14×	96/96	  GET
 Aaron F	B	2×	89/96	  GET
 Kanane Jones	F	2×	84/96	  GET
 Loren Reed	B+	2×	59/96	  GET
 Samuel Couto	B+	5×	96/96	  GET
 Gene Kwatny	A+	3×	96/96	  GET
