Accessed on Sun Sep 11 2016 04:43:17 GMT-0700 (PDT)
 
×

1395 Owners Of As Big as Mountains
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 martim o	D-	2×	80/96	  GET
 Sónia PB Gomes	A-	3×	95/96	  GET
 Renato Ahoop	C	2×	49/96	  GET
 AB Bright	A+	6×	96/96	  GET
 Ray Ross	A+	3×	86/96	  GET
 Michael Lee	C-	2×	31/96	  GET
 Outa Faith	A+	5×	91/96	  GET
 Angela Moore	B	3×	85/96	  GET
 Pixie Clay	A+	4×	96/96	  GET
 Cindyne Torres	A+	2×	94/96	  GET
 Amanda Foley	C-	2×	17/96	  GET
 Csongor Kiss	A+	3×	96/96	  GET
 Elena Christou	F	3×	95/96	  GET
 Benjamin I Meszaros	F	4×	96/96	  GET
 Josh Parrish	A+	4×	96/96	  GET
 Luke Gibson	A+	2×	95/96	  GET
 Michael Liendl	B	3×	96/96	  GET
 Aubrey Johnson	A-	5×	96/96	  GET
 Olivia Spankhorn	D+	3×	85/96	  GET
 Keith Chu	A+	2×	96/96	  GET
 Amanda Petzak	A+	2×	95/96	  GET
 Isabelle	C-	3×	95/96	  GET
 A.K. Philips	A+	3×	96/96	  GET
 Donneli Hinds	D+	3×	54/96	  GET
 Caitlin Pasqualone	A+	6×	94/96	  GET
 Luraae	A+	2×	96/96	  GET
 Melissa Tran	D	3×	96/96	  GET
 Michael Tommerup	D+	8×	95/96	  GET
 VeSania HanaKo	C+	2×	96/96	  GET
 Sarah Kuehnle	A+	2×	95/96	  GET
 Filipp Trialikov	F	6×	90/96	  GET
 Caio Beltrao - ilustract	B	12×	96/96	  GET
 Beno Parbleu	D+	3×	96/96	  GET
 Robert Blankenship	A+	6×	96/96	  GET
 Débora Peixoto	F	2×	61/96	  GET
 Spacecatet	F	2×	96/96	  GET
 Jesse Goll	A+	2×	18/96	  GET
 Cynthia Barrios	A	3×	87/96	  GET
 tristan heles	F	2×	89/96	  GET
 Cédric Heim	B	3×	96/96	  GET
